Area code,Area,Year,Series,System of trade,Value,Source
2,Africa,2022,Exports FOB (millions of US dollars),,669987,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,1995,Balance imports/exports (millions of US dollars),,-10892,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2005,Balance imports/exports (millions of US dollars),,60428,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2010,Balance imports/exports (millions of US dollars),,28159,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2015,Balance imports/exports (millions of US dollars),,-144542,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2020,Balance imports/exports (millions of US dollars),,-109572,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2021,Balance imports/exports (millions of US dollars),,-46544,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2022,Balance imports/exports (millions of US dollars),,-108702,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,45062,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,87571,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,181147,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,205560,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Imports CIF (millions of US dollars),,185560,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Imports CIF (millions of US dollars),,223591,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Imports CIF (millions of US dollars),,255792,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,33043,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,114104,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,165544,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,108845,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Exports FOB (millions of US dollars),,102938,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Exports FOB (millions of US dollars),,171097,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Exports FOB (millions of US dollars),,223445,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,-12019,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,26533,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,-15603,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
