Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
24,Angola,1995,Tourist/visitor arrivals (thousands),TF,9,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2005,Tourist/visitor arrivals (thousands),TF,210,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2010,Tourist/visitor arrivals (thousands),TF,425,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2019,Tourist/visitor arrivals (thousands),TF,218,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2020,Tourist/visitor arrivals (thousands),TF,64,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2021,Tourist/visitor arrivals (thousands),TF,64,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,1995,Tourism expenditure (millions of US dollars),,27,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2005,Tourism expenditure (millions of US dollars),,103,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2010,Tourism expenditure (millions of US dollars),,726,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2019,Tourism expenditure (millions of US dollars),,395,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2020,Tourism expenditure (millions of US dollars),,19,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
24,Angola,2021,Tourism expenditure (millions of US dollars),,23,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,39,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,62,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,62,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
660,Anguilla,2019,Tourist/visitor arrivals (thousands),TF,95,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
